2022-02-01 12:56:37.713379100;WSAMZN-VF63K6L6;loading IngItem;Import KO;IngItem;-;-;400;-;Something happened during files checkin.
2022-02-01 12:56:38.065865300;WSAMZN-VF63K6L6;loading IngItem;Import KO;IngItem;-;-;400;-;Something happened during files checkin.
2022-02-01 14:10:53.588730600;WSAMZN-VF63K6L6;loading Part;Import KO;Part;-;-;400;-;Something happened during files checkin.
2022-02-01 14:10:53.947232;WSAMZN-VF63K6L6;loading Part;Import KO;Part;-;-;400;-;Something happened during files checkin.
2022-02-01 15:20:13.545947700;WSAMZN-VF63K6L6;loading Part;Import KO;Part;-;-;400;-;Something happened during files checkin.
2022-02-01 15:20:13.886943600;WSAMZN-VF63K6L6;loading Part;Import KO;Part;-;-;400;-;Something happened during files checkin.
2022-02-01 15:20:49.841447300;WSAMZN-VF63K6L6;loading Part;Import KO;Part;-;-;400;-;Something happened during files checkin.
2022-02-01 16:46:34.202140400;WSAMZN-VF63K6L6;loading Part;Import KO;Part;-;-;400;-;Something happened during files checkin.
2022-02-01 16:46:34.567132400;WSAMZN-VF63K6L6;loading Part;Import KO;Part;-;-;400;-;Something happened during files checkin.
2022-02-01 17:11:41.687532;WSAMZN-VF63K6L6;loading Part;Import KO;Part;-;-;400;-;Something happened during files checkin.
2022-02-01 17:11:42.151480400;WSAMZN-VF63K6L6;loading Part;Import KO;Part;-;-;400;-;Something happened during files checkin.
2022-02-01 17:14:22.535616400;WSAMZN-VF63K6L6;loading Part;Import KO;Part;-;-;400;-;Something happened during files checkin.
2022-02-01 17:14:24.347633100;WSAMZN-VF63K6L6;loading Part;Import KO;Part;-;-;400;-;Something happened during files checkin.
